month,temperature,temperature_roll_mean_48h_lag72h,temp_humidity,co_roll_mean_48h_lag72h,pm10_roll_mean_48h_lag72h,no2_roll_std_48h_lag72h,aqi_roll_mean_24h_lag72h
6,30.0,26.92916666666667,15.6,0.4994947435067832,203.16116753472224,5.033334610776791,117.755
6,29.9,26.985416666666666,15.548,0.500606330328454,198.34037326388886,5.038380489014603,119.36291666666666
6,31.4,27.068749999999998,15.386,0.5011837189842913,193.55065538194444,5.040688597982636,121.67333333333333
6,33.7,27.1875,14.154000000000002,0.5010382352284898,188.83975694444447,5.031184474972422,124.42208333333333
6,36.0,27.329166666666666,12.24,0.5002539868573723,184.19453124999998,5.00762365505871,127.24291666666666
6,26.5,27.43541666666667,19.875,0.4990469263209567,179.86684027777778,5.0001590796259405,129.91166666666666
6,31.1,27.64375,14.928000000000003,0.49757163010978217,175.7603298611111,5.026854551273781,132.375
6,35.7,27.837500000000002,12.852,0.4959053864691181,171.81692708333333,5.059084385669004,134.09916666666666
6,35.2,28.004166666666666,11.968000000000002,0.4941709473179221,168.02031250000002,5.074770886971669,135.06625
6,34.8,28.150000000000002,12.527999999999999,0.4926092701267404,164.34479166666668,5.0733836080426835,135.26250000000002
6,35.9,28.302083333333332,11.488,0.49148859057033195,160.74383680555556,5.105105173337773,135.23458333333335
6,36.0,28.452083333333334,11.16,0.4909043823634415,157.16640625,5.153475114540161,135.39875
6,31.1,28.59166666666667,14.306000000000001,0.49065205897447334,153.81006944444445,5.15627305205175,135.59
6,28.8,28.7375,15.264000000000001,0.4902156077070688,150.64027777777778,5.2841331348396166,135.71333333333334
6,27.8,28.864583333333332,15.846000000000002,0.48904946447697245,147.6615451388889,6.382141394034823,135.61125
6,27.1,28.993749999999995,15.989,0.4870013259773294,144.90060763888889,8.224492607104299,136.0375
6,26.5,29.125,16.43,0.4846122099250267,142.38758680555557,9.79572045624337,136.96
6,26.2,29.245833333333334,17.292,0.48277775069171724,140.13498263888889,10.867471442703742,137.87791666666666
6,25.6,29.38333333333333,14.848000000000003,0.4820412391779721,138.1515625,11.616495843999473,138.77625
6,24.9,29.504166666666666,14.94,0.482177630199036,136.43324652777778,12.218463338963504,139.61666666666667
6,25.2,29.627083333333335,14.363999999999999,0.4826231742011781,134.94869791666667,12.70256438532274,140.33333333333334
